#,Depth,Year,Orthocladius consobrinus,Ablabesmyia,Chironomus spp,Cricotopus intersectus,Chironomini larvula,Pseudochironomus,Paratanytarsus type,Tanytarsus mendax,Chaetocladius,Limnophyes,Orthocladius trigonolabis,Cricotopus undifferentiated,Psectrocladius sordiellus,Cricotopus sylvestris,Cricotopus cylindraceus,Microtendipes pedellus type,Cricotopus Type C,Eukiefferiella,Cricotopus tremulus,Stempellinella,Endochironomus ,Tanytarsus lactescens,Tanytarsus chinyensis grp,Parakiefferiella nigra,Dicrotendipes,Parachironomus varus,Heterotrissocladius spp,Thienemannimyia type,Procladius,Paracricotopus,Tanytarsus pallidicornis,Monodiamesa,Parametriocnemus,Tribe Pentaneurini undifferentiated,Parakiefferiella triquetra,Smittia ,Pagastiella,Psectrocladius (Monopsectrocladius),Phaenopsectra,Glyptotendipes pallens type,Stictochironomus Type B,Cricotopus cardiocladius,Protanypus,Paracladius,Corynoneura arctica,Micropsectra insignilobus,Cyphomella/Harnischia/Paracladopelma,Cryptochironomus,Cladotanytarsus mancus grp,Polypedilum,Cladopelma,Tanytarsus heliomesonyctios,Tanytarsini undifferentiated,Tanytarsus NoSpur
1,0.5,2011,1,0,4,0.5,1,0,5,0,0.5,0,0,0,0,0,0,1.5,0,0,0,0,0,1,0,1,1.5,0,0.5,0,7,0,1,0.5,0.5,1,0,0,4,0,0,0,0,0,0,0,0,0,0,1,2,3,1.5,5,1,5
2,1,2008,0,0,3,0,0,0,4,0,0,0,0,0,0,0.5,0,0,0,0,0,1.5,1,0,0,0,3.5,0,2,0,12,0,0,0,0,0.5,0,0,0,1.5,1,0,0,0,0,0,0,0,0,1.5,1,4,1,3,3.5,6
3,1.5,2006,3,0,6,0,0,0,4,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0,0,0,9,0,1,0,0,0,0,0,0,0,0,0.5,0.5,0,0,1.5,2,0,0.5,0.5,4,5,5,17.5,0,6
4,2,2003,0,0,3,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,3,0,0,1,0,0,0,0,0,1,0,0,0,2,0,2,0,0,3,10,1,6,9,3
5,2.5,2000,0,0,7,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,2,2,6,7,5,4
6,3,1996,1,2,10.5,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,7,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0.5,10,5,3,11,0.5,0
7,3.5,1993,1.5,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,2,2.5,0,0,0,0,0,0,0,0,0,0,3,0,4.5,2,3.5,12.5,3,1
8,4,1989,1,0,6.5,0,0,0,5.5,0,0,0,0,1.5,0,0,0.5,0.5,0,0,0,1,0,0,0,0,3,0,0.5,0,5.5,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0.5,1,1.5,10.5,7,2,16.5,0.5,2
9,4.5,1983,0.5,2,14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1.5,0,8,2,0,0,0,4,0.5,0,1,0,0,0,0,0,0,0,0,0,0,1,3,4,2,7.5,3,3
10,5,1976,2,3,12,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,0,2,1,1.5,0,9,0,0,0,0,0.5,0,1,1,0,0,0,0,0,0,0,0,2,0,0,2,2,0,5,0.5,2.5
11,5.5,1969,5,3,8.5,1,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,4,0,1.5,0,4,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,1,0,0,1.5,2,0,7,1,2
12,6,1964,4,2,14,1.5,0,0,3,0,0,0,0,0,0.5,0,0,0,1,0,0.5,3,0,0,0,0,4.5,0,0.5,0,11,0,0,0,0,3.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,4,1,0
13,6.5,1959,2,2,18,2,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,3,0,1,0,12,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,1,2,0,5,1,0.5
14,7,1952,2,7,17,2,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,1,0,0,0,0,2,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,2
15,7.5,1945,5.5,0,17,2,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,12,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,1.5,1,0,4.5,0,0,5.5,2,0
16,8,1937,8.5,0,11,1,0,0,6,0,0,0,1,0,1,0,0.5,1,0,1,0,0.5,0,0,0,0,5.5,0,0,0,2,0,0,0,0,5,0,0,0,0,0,2,0,0,0,0,0,0,1,1,5.5,0,1,2,0,1
17,8.5,1929,5.5,0,15,5,0,0,13,0,0,0,0,2.5,0,1,1,0,0,2.5,0,1.5,0,0,0,0,5,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,3,3,0
18,9,1922,1,3,10,1,0,0,8,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,1,2
19,9.5,1915,2.5,0,14.5,2.5,0,0,5,0,0,0,0,0,0,2.5,0,0,1,1,1,0.5,1,0,0,0,5,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,2,1,0,3,1,3
20,10,1906,3,4,20,3,1,0,6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,3,0
21,11,1893,8,12,12,1.5,3,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,12,1877.74,6,4,28,2,2,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,3,0,0.5,0,11.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0
23,13,1861.61,12.5,8,10,6.5,0,0,8.5,0,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,5.5,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
24,14,1844.51,6,7,15,5.5,0,1,4,0,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,1,0
25,15,1830.34,8,6,17,0.5,1,0,3,0,0,0.5,0,1,2,0,1,1.5,0,0,0,1,0,1,0,0,1,0,0.5,0,14,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0.5,1,0
